"CEindex","TotalExpLastQ"
1,27688.0501
2,4891.4
3,10513.2501
4,11577
5,17383.8
6,10190.9999
7,2274
8,29113.8248
9,5529.4
10,36529.5499
11,8633
12,3302
13,45797.5002
14,6821.2501
15,27951.2499
16,9454.9001
17,6043.5001
18,71634.5868
19,19374.55
20,12849.6499
21,16085.75
22,14068.75
23,20133.0501
24,13719.3499
25,7000.4
26,6665.8
27,5620.4
28,30826.4368
29,7840
30,7038.75
31,2368.4
32,22032.1999
33,10428.8
34,24116.5867
35,8103
36,5925.0001
37,5487
38,5277.0001
39,22519.25
40,34452.5867
41,8850.4499
42,7406.8999
43,17293.25
44,7434.4
45,17299.5501
46,25081
47,11797.7
48,3634.15
49,4297
50,5881.45
51,5717.9999
52,8696.8499
53,17545.55
54,12747.0001
55,8276
56,41345.9001
57,6605.8
58,22602.0733
59,9737.5
60,9455.4999
61,2110
62,6220.8
63,8099.8499
64,3215
65,8252.9
66,8968.2001
67,15081.05
68,7684.2501
69,6397.8
70,5249.4
71,23366.5
72,13426
73,18375.2502
74,4888.95
75,10100.15
76,13727.7502
77,3214.4
78,2643
79,6958.25
80,8896.3999
81,8704.7
82,9707.6501
83,16206.4501
84,10163.8
85,19508.5001
86,12132.8001
87,5759.9501
88,15389.2002
89,8692
90,22552
91,7769.65
92,8087.0499
93,5389.5001
94,27574.0001
95,3507.7499
96,16600.8499
97,6396.6499
98,10127.35
99,12221.4
100,30850
101,5180
102,17060.5
103,5819.4
104,3665
105,12162.0001
106,12270.8
107,5953.15
108,10759.1001
109,4598.0501
110,11496.75
111,7848.8
112,3701
113,9250.0002
114,5419.8
115,7026.9
116,15929.9999
117,17404.1501
118,7027.2501
119,16747.7498
120,12624.4
121,23109.0001
122,11704.65
123,7227.9499
124,17736.4
125,2008.5
126,5046.4
127,18050.0001
128,18526.8001
129,7298.3501
130,18563.2501
131,42598.7501
132,27035.7001
133,9938.3368
134,18313.3368
135,2152.4
136,16369
137,33237.25
138,17728.2502
139,4835.1499
140,14404.9999
141,10241.3
142,13550.2868
143,15868.8
144,6273.75
145,21032.2501
146,5973.5
147,5481.7501
148,16072.0001
149,11684.0001
150,51832.75
151,6851.0999
152,6247.5
153,9086.2499
154,7451.15
155,13374.5499
156,10804.3
157,14999.6502
158,7175.2499
159,20975.8367
160,10023.65
161,5769.3499
162,7743
163,7075.7501
164,17087.6368
165,11339.15
166,19973.9999
167,14836.1499
168,2559
169,2564
170,16734.3501
171,13771.8
172,11920.8
173,9244.2501
174,15755.4
175,52600.9866
176,20859.4867
177,20662.25
178,13817.8999
179,5406.8999
180,5767.7499
181,13780.7501
182,7022.2501
183,3563.8
184,19999.8001
185,9145.9001
186,24253.6501
187,12874.9001
188,15362.1998
189,18729.2499
190,11863.0002
191,21916.0499
192,5244.7499
193,8842.4001
194,4174.25
195,9635.5001
196,10900.5001
197,12293.8001
198,4019.25
199,14179.5501
200,6030.4
201,6276.6001
202,5290.1
203,7660.1
204,11803.4001
205,33124.0001
206,12778.35
207,8026
208,3758
209,8818.7999
210,30449.6733
211,2317.5499
212,33243.0868
213,16983.75
214,4785
215,6949.4
216,6324.9001
217,8789.75
218,27019.3868
219,11154.75
220,8760.25
221,16596.2501
222,41191.6499
223,10143.3
224,13080.2499
225,12658.5999
226,9639.2501
227,16113.3998
228,13177.7501
229,16859.6
230,6428.9998
231,2251.4
232,7453.5501
233,9481.25
234,6624.6499
235,12089.1
236,27026.3367
237,6877.4
238,2525.4
239,16003.3999
240,25471.4367
241,5613.4
242,10028.9999
243,9213.0001
244,24309.9999
245,3939.4
246,5887.25
247,12827.25
248,31365.1368
249,11484.5001
250,14725.85
251,25206.6498
252,11524.8
253,4855.4
254,5007.2999
255,12383.2499
256,10570.4001
257,83979.3366
258,12654.5001
259,11885.8
260,6681.9001
261,11755.2499
262,13417.7501
263,6706.5
264,25950.2498
265,13722.75
266,14691.7368
267,13187.5001
268,55963
269,5059.4
270,9012
271,5856.5001
272,11640.5001
273,30309.25
274,57454.3368
275,39267.5
276,51298.15
277,21578.1501
278,8681.15
279,10856.5001
280,3011.4
281,14686.75
282,16322.5001
283,20603.5002
284,12046
285,19070.7502
286,2846
287,20667.5
288,6219.4
289,28411.0502
290,1653.4
291,9091.4
292,14582.5001
293,9507.8
294,3523.8
295,7245.4
296,13595.7999
297,7833.7501
298,14361.1499
299,10899.0001
300,18287.2502
301,12082.5001
302,3634.8
303,10764.7502
304,19334.3501
305,10965.4
306,9966.3999
307,17560.7501
308,10818.6499
309,9334.4
310,16531.3368
311,10659.65
312,30161.7503
313,19185.75
314,70165.3368
315,7088.0001
316,30357.3368
317,15949.7501
318,7408.45
319,7746.6001
320,10952.5001
321,1766.2501
322,3802
323,59738.2501
324,4976.2501
325,11900.8868
326,11185.95
327,22792.0001
328,7307.8
329,13668.8
330,16711.0001
331,12702.25
332,4923
333,4472
334,10085.2501
335,13335.2499
336,8377.4
337,8990
338,2495
339,4373.0001
340,3974.4
341,3279
342,10802.9001
343,60828.3368
344,8965.5001
345,38315.5161
346,33183.4999
347,6906.5001
348,351
349,26138.1
350,40489.6734
351,10206.8999
352,2763
353,13628.65
354,25737.7369
355,3507.4999
356,3147
357,11009.9
358,12857.5001
359,24380.2499
360,19358.4001
361,5209.5001
362,4877.9
363,9231.2999
364,35849.2
365,14983
366,14011.65
367,22871.4
368,5519.4
369,13822.9
370,9819.0501
371,7728.6
372,9797.2499
373,12030.95
374,18238
375,21321.5868
376,21032.8366
377,20636
378,7564.8499
379,13566.7502
380,11761.9
381,18554.2501
382,25621.9
383,13895.4
384,8018.6
385,28222.4
386,6565.4
387,17480.2
388,2958
389,3620.9
390,4716.25
391,1362
392,2777
393,14760.6501
394,5727.9999
395,8380.2502
396,113465.25
397,12849.4
398,39099.3368
399,8431.5499
400,19998
401,50223.5869
402,8050.4001
403,7934.8001
404,8180.75
405,7079.5001
406,3674
407,7469.9
408,7240.4
409,12471.75
410,10847.7001
411,14417.5001
412,11611.5
413,11488.4
414,7296
415,9833.5001
416,14297.7501
417,6727.8499
418,20290.4
419,4477.5
420,6334
421,4149
422,4137.0001
423,17864.7499
424,18407.9999
425,13078.4
426,3947
427,11871.8
428,4295.4
429,7599.5
430,13953.1
431,29005.3368
432,4136.0499
433,149409.0868
434,9014.5001
435,11758.3998
436,7968.6001
437,16122.9
438,16901.2499
439,11106
440,11623.5501
441,9784.2501
442,2348.5
443,25950.7499
444,14654.65
445,7150.5999
446,14337.2499
447,18271.25
448,17982.25
449,8438.7501
450,7720.55
451,4839.75
452,4272
453,4817.45
454,22217.9
455,8803.2
456,13978.5498
457,7075.7501
458,17284.65
459,21573.6999
460,21957.2502
461,13992.8999
462,9155.5001
463,16225.7501
464,28624
465,5567.7502
466,6518.4
467,7634.5
468,62636.3368
469,11672.75
470,3626
471,1754
472,5137.8
473,2594
474,3750.4
475,7225
476,11660.8
477,5102.4
478,13626
479,5179.75
480,10270.0999
481,18687.5501
482,2933.2999
483,17022.5246
484,15053.6668
485,3781.2667
486,48693.1666
487,17496.8334
488,4001.3333
489,13395.8579
490,2684.3001
491,7328.6667
492,8519.6
493,1994.6667
494,16675.5579
495,3478
496,11045.9333
497,7388.0334
498,9206
499,3424.6668
500,5682.8334
501,4693
502,14223
503,2340.6667
504,6871.1334
505,4077.6667
506,11464
507,12990.2998
508,3400.8333
509,3455.9333
510,35332.4999
511,7403.7666
512,9020.9333
513,9187.3333
514,10498.5579
515,1246.6667
516,8613.9333
517,2058.9333
518,4312.2667
519,1616.5
520,3711.7
521,4327.9333
522,11289.4577
523,4583.2
524,10382.5666
525,2063.2667
526,8470.1333
527,8192.2
528,6304.3334
529,6114.8667
530,4811.1667
531,2862
532,7530.9333
533,5362.7667
534,28911.6666
535,8995.9999
536,3759.0667
537,10439.5
538,3584
539,3982.8334
540,15634.8333
541,11562
542,34713.3999
543,4293.2667
544,5878.2333
545,5555.2666
546,5654.1
547,11028.5001
548,5691.9667
549,2222.3333
550,5253.6667
551,8576.3334
552,17065.1668
553,5403.5
554,7370.5333
555,2570
556,6226.1
557,3146.4666
558,6413.1668
559,11141.5912
560,9355.2667
561,10722.1667
562,11371.8333
563,3102
564,5283.2
565,15344.6667
566,5508.5333
567,4431.8001
568,1951.6667
569,26693.3577
570,17035.3001
571,20912.5498
572,5087
573,6474.6667
574,4225.6667
575,11346.3333
576,5447.5999
577,6155.4999
578,18593.4911
579,11646.6333
580,18554.2579
581,3644.1667
582,5196.6667
583,9536.3333
584,18031.6333
585,5948.3333
586,4503.2667
587,3160.2667
588,7773.9333
589,11872.2667
590,7604.7667
591,5241.6333
592,9021.2001
593,12398.7667
594,11897.3333
595,5216.6
596,6899.5001
597,2876.9333
598,9140
599,3630.0001
600,7679.4666
601,833.6667
602,6785.0999
603,10212.1667
604,14991.3333
605,4595.5334
606,14217.6333
607,4787.6667
608,1931.3333
609,6238.3999
610,3637.1667
611,5071.6667
612,19206.2245
613,9063.2
614,6419.5332
615,9952.9333
616,4345.5333
617,11280.9333
618,1133.0001
619,9196.3333
620,8307.5
621,1072
622,23805.4
623,4488.6667
624,6347.1667
625,4353.9333
626,4282.9333
627,6706.6667
628,6637.3666
629,8900.8333
630,5195.6667
631,5575.5333
632,12833.8333
633,4075.5333
634,1388
635,6487.9333
636,10455.4244
637,56970.3333
638,6375.6333
639,9942.3333
640,8331.0001
641,18749.3912
642,7763.6667
643,3269.5999
644,11899.2245
645,4745.3
646,1196.6667
647,10254.7001
648,8215.5
649,12831.6667
650,5362.3333
651,7475.1667
652,7549.3
653,56685.1223
654,6465.5333
655,2250
656,1125.8333
657,8482.7667
658,20105.3333
659,50502.1245
660,3935.5999
661,11945.1667
662,3233.4999
663,2310.9333
664,8420.8
665,14405.8913
666,3326.1666
667,24545.6489
668,3789
669,15862.0333
670,6082.8667
671,4214
672,19610.0001
673,2289
674,5967.2667
675,41313.6668
676,7472.2667
677,3942.3333
678,3227.9999
679,928.6667
680,11676.6667
681,7581.3333
682,3848.9333
683,6511.8667
684,11780.3334
685,1402.3333
686,1387.6667
687,4695.4666
688,6847.4999
689,42014.3334
690,1804.2667
691,1386.6667
692,6505.0999
693,2958.3333
694,1220.2667
695,5271.8
696,9658.3667
697,4319.6667
698,140387.6
699,8720.5001
700,6522.3333
701,7019.6
702,4418.6
703,2146.2667
704,6557.6667
705,7301.4333
706,7199.6
707,4820.2667
708,8508.1667
709,5250
710,3305.6
711,8341.3334
712,4636.0334
713,15131.7333
714,2248.1333
715,5947.3334
716,5182.5333
717,12942.4245
718,13508.1245
719,5845.9666
720,6200.0334
721,9495.3001
722,7616.2667
723,4151.8333
724,8565.6667
725,7659.3333
726,6326.2333
727,4498.8333
728,3272.5
729,11779
730,16847.2
731,2397.2
732,6861.2666
733,4668.2
734,14947.6
735,12718
736,5972.1667
737,7976
738,13897.5
739,25549.3334
740,15124.3577
741,4643.1667
742,11883.3333
743,5234.6667
744,3166.2666
745,8099.5334
746,4756.6
747,15729.6667
748,4521.2667
749,5969.5666
750,10954.5
751,13794.1667
752,14458
753,14598.5
754,12992.3333
755,2621.6667
756,4593
757,13915.3333
758,5303.8667
759,2561.2667
760,5244.9333
761,28798.6077
762,11438.5
763,2438.1666
764,15135.1001
765,13004.6667
766,1801.3333
767,7478.4333
768,1911.7667
769,11631.3334
770,7211.6666
771,5087.9333
772,7901.2
773,5828.6
774,8755.6669
775,3594.6999
776,17682.1667
777,11335.0912
778,6953.5
779,4966.1666
780,3463.2001
781,6441.7666
782,3283.6
783,1531.6667
784,4215.2
785,7182.7999
786,5231.9333
787,4541.4667
788,5020.2
789,5157.2999
790,10476
791,4196.8333
792,23441.4334
793,8049.2667
794,24701.8912
795,2625.4666
796,13404.0001
797,2837.4333
798,8590.5001
799,8376.8667
800,3770.2
801,40500.6666
802,5387.9667
803,5947.6667
804,4318.1333
805,4028.6667
806,13055.7245
807,8751.6667
808,19786.4244
809,7037.4999
810,12787
811,41608.7244
812,7468
813,3771.3999
814,1555.6
815,6829.8
816,11424.9333
817,4404.8333
818,14566.2666
819,15066.1
820,3076.1334
821,9353.9999
822,3000.2667
823,14276.9334
824,18209.8333
825,3308.3333
826,19405.5334
827,2212.2667
828,6146.7667
829,7879.3333
830,4031.5334
831,10852.6334
832,4126.9334
833,8320.5579
834,4259.9
835,12509.0579
836,2057.3334
837,29022.3333
838,11125
839,4957.8667
840,3443
841,4928.2
842,8826.0332
843,5449.0001
844,14118.7333
845,15942.3333
846,14703.4912
847,5647.5001
848,3331.6667
849,18950.0001
850,1738.3333
851,11533.6667
852,4062.1667
853,22739.5335
854,6427.5333
855,4098.9333
856,12948.9333
857,16969.2001
858,8524.3001
859,7852.1667
860,114834.3387
861,10190.0334
862,4793.3333
863,12105.9334
864,9443.3333
865,17920.6666
866,23069.8832
867,8064.8667
868,7528.7667
869,9286.1667
870,5440.8333
871,7631.3667
872,3218.7334
873,1585.6
874,5681.2
875,20090.9333
876,6810.2
877,4655.4333
878,3201.2667
879,4863.5
880,7652.3332
881,6246.1667
882,1136.6667
883,7489.6667
884,40866.0579
885,29665.9999
886,7271.7999
887,18787.4999
888,3356.0001
889,5456.5333
890,4901.4999
891,35074.7245
892,15465.3666
893,12759.2667
894,3670.3334
895,4729.1667
896,10220.8912
897,2018.8667
898,7963.8334
899,10064.1666
900,15366.5333
901,15789.0333
902,3046.7667
903,8165.3333
904,2516.2
905,7860
906,6818.0333
907,11982.6667
908,5790.6
909,2525.5
910,14370
911,18213.8333
912,8817.6667
913,7846.2001
914,10115.5001
915,22432.3911
916,4609.9333
917,4555.8333
918,2487.4999
919,15742.5002
920,2894.6
921,16220.2667
922,20209.3333
923,5150.9333
924,9408.4999
925,2910.1667
926,6381.5001
927,8920.6667
928,10623.6667
929,7362.6666
930,8283.0001
931,1270597.725
932,6500
933,1819
934,12147.9333
935,2976
936,32754.1667
937,1642.3333
938,3884.6667
939,11487.0667
940,3313.9333
941,6675.6667
942,28595.8668
943,15068.2001
944,7823.1667
945,3379
946,7268.5001
947,8768.3667
948,7327.8333
949,11457.3667
950,1192.9333
951,5150.3334
952,4191.6
953,4787.0001
954,10143.7333
955,7311.6
956,7881.5667
957,15487.2001
958,3619.6
959,4848.2667
960,6211.2
961,16380.1667
962,8715.4333
963,2987.1666
964,2956.6667
965,10983.6667
966,11443.1245
967,6049.8333
968,4753.1667
969,12154.8
970,10994.2666
971,26444.9333
972,4950.3001
973,3733.4666
974,3358.6
975,4252.6
976,10872.7579
977,1990.9833
978,2790.6667
979,731.3834
980,6964.05
981,3620.5334
982,8099.2244
983,5349.75
984,3944.5833
985,4045.7456
986,1041.15
987,3848.1667
988,2144.3333
989,1611.7167
990,8342.6667
991,2215.4667
992,2522.2667
993,10710.3333
994,2839.8333
995,4773.3333
996,2621.3333
997,2612.1333
998,49483.2455
999,145.4333
1000,1787.15
1001,1795.4667
1002,14053.4123
1003,4275.9333
1004,3290.5834
1005,1806.6667
1006,5190.5167
1007,2277.3
1008,32575.8
1009,2485.4
1010,3136.4167
1011,2256.3333
1012,4017.4167
1013,1082.1333
1014,3979.2667
1015,2311.6667
1016,2664.2667
1017,2187.1333
1018,3115.0834
1019,6238.9122
1020,2218.8
1021,4779.7
1022,2103.8333
1023,6478.1123
1024,2089.9167
1025,2235.0333
1026,1483.0834
1027,3078.5
1028,3746.5167
1029,2865.05
1030,3047.75
1031,3831.55
1032,2210
1033,2179.6
1034,4657.3333
1035,2709.6667
1036,5444.35
1037,6070.8
1038,2069.1333
1039,2551.75
1040,1164.5833
1041,5730.3334
1042,1760.4167
1043,1594.6667
1044,1281.3333
1045,2414.4166
1046,958.9667
1047,2346.0834
1048,2421.8333
1049,2812.1667
1050,2802.6667
1051,18326.17
1052,678.4667
1053,3834.65
1054,1644
1055,8344.75
1056,2485.6
1057,2052.8
1058,4308.9167
1059,1828.9333
1060,2462.75
1061,1462.9333
1062,30
1063,3674.9333
1064,3639.45
1065,1463.2167
1066,5234.8334
1067,1328.75
1068,2304.6667
1069,4480.75
1070,14476.6334
1071,2661.6
1072,3760.9166
1073,1664.9
1074,20623.1667
1075,3626.3334
1076,6385.1789
1077,3171.1667
1078,2052.3333
1079,4935.6499
1080,1467.9333
1081,910.3333
1082,1417.4167
1083,4227.3334
1084,2114.1333
1085,5471.5166
1086,3615.1123
1087,5865.4667
1088,4136.6667
1089,2084.6667
1090,1350.6667
1091,2378.4333
1092,5837.75
1093,27702
1094,7667.5
1095,1867.0166
1096,8816.2456
1097,4156.8334
1098,7617.2834
1099,3554
1100,989.6667
1101,2142.7334
1102,10830.75
1103,2355.5333
1104,2310.6334
1105,1105.25
1106,3057.5833
1107,2585.1333
1108,3247.2
1109,2434.1666
1110,9472.7667
1111,1461.6
1112,3313.1334
1113,5011.6
1114,5598.25
1115,5305.75
1116,9593.1123
1117,5149.4167
1118,3592.9
1119,1729.3333
1120,11688.6666
1121,3559.9333
1122,6854.5833
1123,1137.4667
1124,1384.4833
1125,3081.2833
1126,3700.25
1127,11072.1666
1128,4495.9166
1129,2147.1333
1130,4797.7789
1131,9853.9667
1132,3242.2667
1133,8183.0833
1134,3530.75
1135,2103.2499
1136,5996.6
1137,1478.9166
1138,10734.1955
1139,2536.45
1140,2738.75
1141,1958.4667
1142,1761.9333
1143,5936.8
1144,4848.9333
1145,911.4667
1146,2650.0001
1147,4504.3334
1148,8159.3334
1149,6153.8333
1150,6971.6
1151,4679.4333
1152,2391.1333
1153,13004.6167
1154,2912.2667
1155,1425.6
1156,3261.9
1157,2345.75
1158,1980
1159,10276.9
1160,6778.7789
1161,3425.0833
1162,2848.4167
1163,1283.1333
1164,3672.6
1165,5929.4499
1166,7943.8956
1167,5905.05
1168,2121.55
1169,5010.8
1170,8789.9167
1171,2723.4667
1172,10667.7789
1173,8548.8333
1174,1639.7667
1175,12197
1176,2670.4667
1177,3898.4667
1178,9166.6956
1179,2260.75
1180,1613.25
1181,6683.25
1182,3154.9667
1183,2623.75
1184,3500.2167
1185,3517.35
1186,4814.6667
1187,6225.4333
1188,4352.9167
1189,285.1667
1190,1794.6667
1191,2625.0833
1192,4016.9667
1193,4488.3833
1194,1853.2166
1195,6055.6955
1196,1357.8
1197,2165.1167
1198,1444.8
1199,1324.4667
1200,2185.3333
1201,4266.6956
1202,1773.25
1203,3422.8333
1204,1238.4667
1205,5380.3
1206,574.6333
1207,4122.0666
1208,4436.7667
1209,2681.6334
1210,4138.5834
1211,2717.6833
1212,4296.1333
1213,1249.3333
1214,1062.8333
1215,5674.0833
1216,1759.8834
1217,2551.9167
1218,1188.5
1219,4842.5167
1220,3275.35
1221,652.3333
1222,16927.1867
1223,1765.6667
1224,5010.5833
1225,3113.8
1226,2691.8833
1227,2647
1228,6340.7333
1229,2841.1
1230,2518.7333
1231,3977.1667
1232,2864.8833
1233,12729.1123
1234,15732.8038
1235,1221.1333
1236,2890
1237,2046.55
1238,1253.6667
1239,3023.3166
1240,1832.15
1241,6721.5
1242,5834.5834
1243,3058.0001
1244,2091.75
1245,4687.1667
1246,753.6667
1247,3566.4622
1248,4532.9333
1249,8118.5
1250,1888.7667
1251,7812.8789
1252,3267.25
1253,4189.3
1254,2654.5834
1255,1994.1333
1256,4233.9333
1257,1812.75
1258,11547.3623
1259,2715.7333
1260,3325
1261,1429.3333
1262,3015.3
1263,14678.7956
1264,9951.45
1265,2463.6667
1266,2616.2167
1267,1946.8834
1268,5906.9
1269,2342.6667
1270,6820.2334
1271,875.0834
1272,2107.7834
1273,7691.4
1274,1664.3333
1275,4037.3666
1276,800.1667
1277,2978.7
1278,2227
1279,4352.1123
1280,4467.4167
1281,2636.75
1282,4312.35
1283,1791.9333
1284,2949.2833
1285,9390.9833
1286,4304.8334
1287,8947.7166
1288,10959.4167
1289,6766.6667
1290,2049.8
1291,9932.45
1292,3476.9166
1293,3439.5834
1294,4552.1167
1295,5706.9333
1296,3355
1297,4530.2
1298,694.1333
1299,7038.2334
1300,4181.8333
1301,1915.8333
1302,1361.8
1303,4048.4167
1304,3548.9167
1305,7540.65
1306,896.4667
1307,8845.5834
1308,3859.2667
1309,6377.5166
1310,4661.8333
1311,8742.8333
1312,1808.2167
1313,2583.75
1314,4779.25
1315,2189
1316,8707.3333
1317,2532.4167
1318,4788.9667
1319,1656.9334
1320,1668.8
1321,7496.1333
1322,13228.7534
1323,8576.5
1324,2652.9167
1325,3593.3333
1326,2525.8
1327,2251.9167
1328,1289.65
1329,3380.1333
1330,3841.05
1331,1793
1332,4877.8
1333,4816.5789
1334,1060.2667
1335,1996.1333
1336,1271.4167
1337,1655.95
1338,2601.8333
1339,14987.6122
1340,1363.6667
1341,6720.6667
1342,6923.6
1343,2530.05
1344,4178.1333
1345,2063.3833
1346,2081.1333
1347,1238.6667
1348,2608.3333
1349,4821.5
1350,1918.8
1351,4420.6166
1352,5120
1353,4051.8
1354,12728.6667
1355,1121.6667
1356,8342.1667
1357,4497.8167
1358,1528.6333
1359,5444.0833
1360,4632.45
1361,1293.4667
1362,9783.9167
1363,4372.0333
1364,1514.3667
1365,3484.75
1366,3875.2667
1367,2907.0833
1368,1805.25
1369,5153.3333
1370,2119.4167
1371,6274.4456
1372,7273.3333
1373,9100
1374,4670.1333
1375,3089.05
1376,4673.9
1377,1188.7
1378,4147.5834
1379,4632.4833
1380,3750.9667
1381,5671.2666
1382,3404.6166
1383,1748.9
1384,18146.7789
1385,11915.6333
1386,3035.5
1387,1972.9333
1388,823.7666
1389,2084.9
1390,2181.1333
1391,1633.2166
1392,2196.3333
1393,2721.0833
1394,4665.5
1395,3099.7167
1396,2000.1667
1397,4249.1833
1398,3121.1
1399,24098.0289
1400,1143.3333
1401,4404.2833
1402,2171.5
1403,1769.25
1404,2381.6
1405,3161.3333
1406,4911.5834
1407,2339.2
1408,5080.85
1409,12750.3333
1410,2440.2667
1411,1699.8
1412,1518.9167
1413,2757.5833
1414,1803.6667
1415,526.1667
1416,2538.4833
1417,2512.8833
1418,5150.3333
1419,2094.9333
1420,7874.9834
1421,1871.1333
1422,5128.4167
1423,6870.7667
1424,1939.2334
1425,5831.0833
1426,1832.5
1427,1370
1428,4244.75
1429,1991.1667
1430,2533.2
1431,3851.1
1432,4260.75
1433,4707.55
1434,5907.4667
1435,7947.2667
1436,4901.6333
1437,1261.2833
1438,2926.5
1439,7999.5834
1440,6609.2167
1441,3941.6667
1442,1933.8334
1443,1325.3333
1444,4505.9167
1445,2448
1446,7157.9333
1447,2680.05
1448,3063.45
1449,2198.4834
1450,1528.2667
1451,3903.4333
1452,5966.6667
1453,3046.2333
1454,1529.6333
1455,1495.75
1456,36872.75
1457,2290.3334
1458,5978.5
1459,1009
1460,1140
1461,4095.5
1462,5588.9166
1463,2835.3333
1464,2744.4834
1465,1298.3333
1466,11242.7289
1467,7633.1667
1468,6653.4167
1469,2618.6
1470,2673.8
1471,3621.5
1472,1142.4834
1473,8005.3334
1474,8501.1333
1475,4472.4667
1476,4797.1667
1477,3704.7166
1478,2635.4667
1479,612
1480,1360.4667
1481,1432.8
1482,9970.35
1483,9285.8501
1484,13236.5
1485,4218.3
1486,31582.2001
1487,11464.2501
1488,8947.3368
1489,9418.7368
1490,1717
1491,47182.2501
1492,2440
1493,7112.75
1494,6378.4
1495,20658.3001
1496,9457.2
1497,10422.0501
1498,6936
1499,11281.75
1500,6307
1501,8620.8499
1502,18065.7368
1503,18402.8
1504,3957
1505,17002.7501
1506,6441
1507,10680
1508,10603.9001
1509,11290.4
1510,8191.2
1511,12419.5001
1512,17104.2501
1513,9818.3498
1514,12319.7499
1515,14024.0001
1516,13596.5999
1517,19018.8
1518,11295.5
1519,2089.4
1520,6479.2499
1521,7315.3501
1522,11105.2501
1523,3793.4001
1524,5718.4001
1525,17023.4001
1526,1913.4
1527,7826.75
1528,3733.4
1529,59679.548
1530,6421.3001
1531,15164.2499
1532,1712.25
1533,19891.0001
1534,55742.3365
1535,8167.75
1536,15271.0001
1537,10410.4
1538,16307.65
1539,20976.3001
1540,7994.1499
1541,22748.95
1542,6745.7499
1543,32471.4
1544,2406.5
1545,8903
1546,5501.2501
1547,15972.1999
1548,11911.5
1549,19990.4
1550,1988
1551,17473.7502
1552,19461.3366
1553,13513.5001
1554,18018.4001
1555,10206.75
1556,7611.2501
1557,9751.5
1558,8037.8
1559,36073.4
1560,2044.5
1561,10866.55
1562,9913.4
1563,11465.5002
1564,18067.2501
1565,12575.5001
1566,7829.5999
1567,8922.7501
1568,3109.4
1569,58062.1001
1570,24444.2499
1571,14001.6001
1572,2788.7501
1573,40742.5
1574,16404.5
1575,17852.9867
1576,13666.9999
1577,2444.4
1578,8961.75
1579,4667.4
1580,19081.25
1581,10205.3999
1582,15482.25
1583,8923.2501
1584,13725.0001
1585,6276.4999
1586,3837
1587,5507
1588,9544.95
1589,6054.0499
1590,9281.7502
1591,3300.4
1592,9932.3
1593,2052
1594,1764
1595,12467.9
1596,45119.0864
1597,14264.5001
1598,28445.8
1599,21084.8499
1600,33034.0866
1601,9691.25
1602,5016.9
1603,6455.9999
1604,12927.2
1605,1642
1606,10844.3001
1607,29583.05
1608,16352.0501
1609,6073.15
1610,10800.65
1611,19711.7
1612,6639.7499
1613,15343.8868
1614,54341.4999
